N,종목명,현재가,전일비,등락률,액면가,자산총계,영업이익,매출액증가율
118.0,CJ,81000.0,0.0,0.00%,5000.0,419560.0,18818.0,7.77
119.0,한미사이언스,34350.0,650.0,-1.86%,500.0,9499.0,589.0,10.82
120.0,LG화학우,303500.0,0.0,0.00%,5000.0,,,
121.0,키움증권,89000.0,200.0,+0.23%,5000.0,453011.0,12089.0,29.79
122.0,LS,72100.0,300.0,-0.41%,5000.0,126259.0,5837.0,25.32
123.0,한솔케미칼,189000.0,5000.0,-2.58%,5000.0,11972.0,1977.0,24.13
124.0,한화생명,2465.0,0.0,0.00%,5000.0,1635914.0,13520.0,3.63
125.0,두산퓨얼셀,32600.0,1350.0,-3.98%,100.0,6989.0,180.0,-17.41
126.0,한전기술,55700.0,800.0,-1.42%,200.0,7055.0,101.0,0.33
127.0,OCI,88700.0,2100.0,-2.31%,5000.0,57041.0,6260.0,62.0
128.0,한화시스템,11100.0,200.0,-1.77%,5000.0,38943.0,1120.0,27.19
129.0,농심,344000.0,6000.0,+1.78%,5000.0,28999.0,1061.0,0.88
130.0,서울가스,417500.0,1000.0,-0.24%,5000.0,16626.0,-49.0,-0.22
131.0,HL만도,44350.0,50.0,+0.11%,1000.0,57044.0,2323.0,10.5
132.0,휠라홀딩스,34000.0,150.0,+0.44%,1000.0,42889.0,4929.0,21.26
133.0,신세계,209000.0,3500.0,-1.65%,5000.0,136445.0,5174.0,32.44
134.0,한화,27450.0,100.0,+0.37%,5000.0,2023664.0,29279.0,3.75
135.0,CJ대한통운,90000.0,400.0,+0.45%,5000.0,89939.0,3439.0,5.22
136.0,동서,20500.0,100.0,-0.49%,500.0,15826.0,384.0,8.58
137.0,TIGER MSCI Korea TR,12560.0,75.0,-0.59%,0.0,,,
138.0,KCC,226500.0,3500.0,-1.52%,5000.0,128789.0,3888.0,15.57
139.0,LIG넥스원,90000.0,800.0,+0.90%,5000.0,25768.0,972.0,13.86
140.0,영원무역,44550.0,300.0,-0.67%,500.0,35476.0,4425.0,13.22
141.0,대한전선,1580.0,5.0,-0.32%,100.0,14209.0,395.0,25.1
142.0,대우조선해양,18300.0,400.0,-2.14%,5000.0,106232.0,-17547.0,-36.18
143.0,KODEX 200TR,10210.0,80.0,-0.78%,0.0,,,
144.0,현대차우,79300.0,0.0,0.00%,5000.0,,,
145.0,TIGER 미국나스닥100,63500.0,2165.0,-3.30%,0.0,,,
146.0,KODEX 레버리지,13570.0,235.0,-1.70%,0.0,,,
147.0,GS건설,22050.0,50.0,+0.23%,5000.0,151837.0,6465.0,-10.73
148.0,KODEX 종합채권(AA-이상)액티브,101550.0,515.0,-0.50%,0.0,,,
149.0,대우건설,4500.0,140.0,+3.21%,5000.0,104580.0,7383.0,6.74
150.0,하이트진로,26600.0,100.0,-0.37%,5000.0,36311.0,1741.0,-2.37
151.0,대성홀딩스,115500.0,0.0,0.00%,1000.0,12440.0,213.0,6.35
152.0,오뚜기,460000.0,2000.0,+0.44%,5000.0,26058.0,1666.0,5.52
153.0,DB하이텍,40650.0,250.0,-0.61%,5000.0,15499.0,3991.0,29.79
